what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364053450355
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1364053452164
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364053452401
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1364053531652
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364053536552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053540566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053560902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053562634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053620232
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1364053626508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364053626828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053649681
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1364053649702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053659057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053670545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053683977
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1364053695388
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053721194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053729420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053737725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053771239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053775487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053780778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053780851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364053783502
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364053788735
